date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-12-18,132.55,134.52,128.41,128.97,128.97,302432.0,0.0,1.0
2020-12-17,123.08,129.12,120.7178,128.55,128.55,145217.0,0.0,1.0
2020-12-16,123.58,131.69,122.9922,123.73,123.73,252996.0,0.0,1.0
2020-12-15,122.0,123.93,120.565,123.46,123.46,129116.0,0.0,1.0
2020-12-14,119.12,124.7699,119.12,121.55,121.55,144585.0,0.0,1.0
2020-12-11,113.48,118.59,113.26,117.64,117.64,107081.0,0.0,1.0
2020-12-10,113.33,114.065,110.54,113.22,113.22,146718.0,0.0,1.0
2020-12-09,122.89,123.33,111.715,114.04,114.04,116857.0,0.0,1.0
2020-12-08,112.06,122.65,112.06,122.47,122.47,129889.0,0.0,1.0
2020-12-07,113.82,117.715,108.73,112.83,112.83,192875.0,0.0,1.0
2020-12-04,114.38,115.91,111.42,113.05,113.05,111072.0,0.0,1.0
2020-12-03,120.14,121.685,114.62,114.88,114.88,100944.0,0.0,1.0
2020-12-02,120.0,124.319,118.27,119.62,119.62,132382.0,0.0,1.0
2020-12-01,123.22,123.22,115.665,119.42,119.42,163312.0,0.0,1.0
2020-11-30,123.0,125.46,121.29,123.11,123.11,154488.0,0.0,1.0
2020-11-27,120.3,123.35,120.3,122.84,122.84,49807.0,0.0,1.0
2020-11-25,116.8,120.93,116.19,120.15,120.15,111558.0,0.0,1.0
2020-11-24,123.36,124.685,116.59,116.8,116.8,156140.0,0.0,1.0
2020-11-23,125.59,126.55,123.06,123.28,123.28,118691.0,0.0,1.0
2020-11-20,128.54,129.81,124.09,124.57,124.57,110431.0,0.0,1.0
2020-11-19,123.04,131.64,123.04,130.65,130.65,155539.0,0.0,1.0
2020-11-18,121.54,124.1,118.84,122.77,122.77,83116.0,0.0,1.0
2020-11-17,124.83,125.0,119.29,121.68,121.68,164845.0,0.0,1.0
2020-11-16,123.2,125.0,122.78,124.18,124.18,112203.0,0.0,1.0
2020-11-13,119.75,123.33,119.1,122.55,122.55,62866.0,0.0,1.0
2020-11-12,113.81,120.67,113.0101,118.67,118.67,89201.0,0.0,1.0
2020-11-11,114.2,115.59,110.235,113.3,113.3,122441.0,0.0,1.0
2020-11-10,115.96,117.3,110.26,113.59,113.59,143398.0,0.0,1.0
2020-11-09,124.35,125.33,115.44,115.7,115.7,162030.0,0.0,1.0
2020-11-06,123.2,126.51,121.0,121.85,121.85,202867.0,0.0,1.0
2020-11-05,124.95,126.73,123.435,124.19,124.19,106144.0,0.0,1.0
2020-11-04,124.45,127.94,123.61,123.75,123.75,138802.0,0.0,1.0
2020-11-03,127.0,127.0,116.68,123.64,123.64,187982.0,0.0,1.0
2020-11-02,122.12,128.91,119.3731,126.25,126.25,205852.0,0.0,1.0
2020-10-30,109.0,124.84,109.0,122.54,122.54,566421.0,0.0,1.0
2020-10-29,107.92,108.46,105.41,107.03,107.03,207107.0,0.0,1.0
2020-10-28,109.92,110.32,106.3801,107.0,107.0,143943.0,0.0,1.0
2020-10-27,110.15,112.81,110.15,111.65,111.65,107821.0,0.0,1.0
2020-10-26,108.54,110.58,107.49,109.9,109.9,96467.0,0.0,1.0
2020-10-23,107.81,109.12,107.56,108.87,108.87,87713.0,0.0,1.0
2020-10-22,105.01,108.0,104.3534,106.54,106.54,102884.0,0.0,1.0
2020-10-21,104.51,105.56,102.83,105.22,105.22,77265.0,0.0,1.0
2020-10-20,106.97,108.685,103.01,104.11,104.11,65838.0,0.0,1.0
2020-10-19,109.02,113.41,106.19,107.82,107.82,443177.0,0.0,1.0
2020-10-16,103.07,108.19,103.07,108.03,108.03,162900.0,0.0,1.0
2020-10-15,97.96,104.93,96.335,103.67,103.67,224931.0,0.0,1.0
2020-10-14,97.08,100.02,95.81,99.69,99.69,225088.0,0.0,1.0
2020-10-13,96.05,98.13,95.63,96.6,96.6,75000.0,0.0,1.0
2020-10-12,94.95,97.87,93.74,96.85,96.85,228570.0,0.0,1.0
2020-10-09,90.55,94.0,89.13,93.71,93.71,132194.0,0.0,1.0
2020-10-08,89.95,90.17,88.61,89.85,89.85,185527.0,0.0,1.0
2020-10-07,87.52,89.81,86.69,89.37,89.37,185145.0,0.0,1.0
2020-10-06,86.82,88.36,85.31,87.06,87.06,239618.0,0.0,1.0
2020-10-05,82.27,86.52,82.01,86.23,86.23,161742.0,0.0,1.0
2020-10-02,81.24,84.055,80.06,81.46,81.46,99247.0,0.0,1.0
2020-10-01,86.72,87.7399,81.49,82.84,82.84,218120.0,0.0,1.0
2020-09-30,85.31,88.79,85.31,86.59,86.59,103937.0,0.0,1.0
2020-09-29,83.63,86.09,83.04,85.2,85.2,65047.0,0.0,1.0
2020-09-28,82.13,84.29,81.3,83.55,83.55,79425.0,0.0,1.0
2020-09-25,77.01,81.76,76.75,81.28,81.28,100931.0,0.0,1.0
2020-09-24,80.15,80.69,77.64,77.95,77.95,122283.0,0.0,1.0
2020-09-23,83.36,85.5399,79.865,80.27,80.27,125478.0,0.0,1.0
2020-09-22,82.3,84.4,80.7,84.08,84.08,193731.0,0.0,1.0
2020-09-21,78.23,81.65,77.52,81.6,81.6,259428.0,0.0,1.0
2020-09-18,80.6,82.25,78.5,78.59,78.59,303242.0,0.0,1.0
2020-09-17,80.94,82.98,79.62,79.98,79.98,184199.0,0.0,1.0
2020-09-16,86.35,86.35,80.8,81.61,81.61,415186.0,0.0,1.0
2020-09-15,91.11,92.38,86.01,86.41,86.41,312215.0,0.0,1.0
2020-09-14,100.47,100.61,86.85,90.88,90.88,458210.0,0.0,1.0
2020-09-11,99.15,100.08,97.6201,98.85,98.85,89743.0,0.0,1.0
2020-09-10,99.21,101.33,97.89,98.78,98.78,166866.0,0.0,1.0
2020-09-09,99.5,100.89,99.24,99.7,99.7,128151.0,0.0,1.0
2020-09-08,102.3,102.945,97.22,97.76,97.76,194317.0,0.0,1.0
2020-09-04,107.42,112.695,98.71,101.18,101.18,163602.0,0.0,1.0
2020-09-03,112.72,113.0,105.44,106.31,106.31,175483.0,0.0,1.0
2020-09-02,111.46,115.1099,108.1,112.5,112.5,244395.0,0.0,1.0
2020-09-01,103.37,111.11,103.01,110.82,110.82,156590.0,0.0,1.0
2020-08-31,100.34,103.45,99.2809,102.76,102.76,102760.0,0.0,1.0
2020-08-28,98.53,101.78,98.23,100.93,100.93,89629.0,0.0,1.0
2020-08-27,98.61,98.61,97.1,97.81,97.81,66143.0,0.0,1.0
2020-08-26,97.24,99.605,95.81,97.63,97.63,114729.0,0.0,1.0
2020-08-25,95.02,97.14,94.8801,96.87,96.87,76899.0,0.0,1.0
2020-08-24,97.08,98.98,92.82,94.74,94.74,130358.0,0.0,1.0
2020-08-21,99.84,99.84,95.37,95.7,95.7,114137.0,0.0,1.0
2020-08-20,99.54,102.045,98.22,99.68,99.68,134696.0,0.0,1.0
2020-08-19,98.06,101.64,97.28,100.04,100.04,107602.0,0.0,1.0
2020-08-18,97.48,100.8,97.1103,98.43,98.43,87999.0,0.0,1.0
2020-08-17,97.53,98.67,96.3,97.4,97.4,100260.0,0.0,1.0
2020-08-14,98.26,101.19,96.46,97.26,97.26,96583.0,0.0,1.0
2020-08-13,100.5,102.118,98.36,100.51,100.51,119698.0,0.0,1.0
2020-08-12,95.7,102.33,95.4863,100.05,100.05,141939.0,0.0,1.0
2020-08-11,104.47,104.47,93.87,94.71,94.71,333612.0,0.0,1.0
2020-08-10,105.97,106.59,103.03,104.67,104.67,168843.0,0.0,1.0
2020-08-07,105.53,107.0,104.6,105.67,105.67,123259.0,1.5695,1.0
2020-08-06,107.86,108.39,106.08,106.45,104.892075592,129072.0,0.0,1.0
2020-08-05,107.01,109.47,105.25,109.16,107.562414013,172988.0,0.0,1.0
2020-08-04,107.34,108.9,104.25,106.15,104.596466173,254195.0,0.0,1.0
2020-08-03,103.84,110.88,102.9201,107.35,105.77890385,281833.0,0.0,1.0
2020-07-31,96.6,105.98,93.04,103.33,101.817737632,740628.0,0.0,1.0
2020-07-30,83.47,84.6594,82.9201,83.89,82.6622472658,129660.0,0.0,1.0
2020-07-29,84.63,85.96,84.01,84.91,83.6673192912,63989.0,0.0,1.0
2020-07-28,83.91,85.12,83.01,83.82,82.5932717347,103180.0,0.0,1.0
2020-07-27,83.36,85.2,82.05,84.55,83.3125879882,113689.0,0.0,1.0
2020-07-24,81.39,83.81,80.11,83.26,82.0414674854,119139.0,0.0,1.0
2020-07-23,80.92,83.96,80.235,81.75,80.553566742,74413.0,0.0,1.0
2020-07-22,80.91,81.485,79.492,81.03,79.8441041358,90061.0,0.0,1.0
2020-07-21,83.1,84.2,80.71,81.0,79.8145431939,107400.0,0.0,1.0
2020-07-20,83.23,85.32,81.64,82.79,81.578346062,154600.0,0.0,1.0
2020-07-17,82.72,83.81,81.84,83.2,81.9823456016,92100.0,0.0,1.0
2020-07-16,82.26,83.63,81.52,82.66,81.450248647,144500.0,0.0,1.0
2020-07-15,83.0,83.5,81.91,82.8,81.5881997093,99100.0,0.0,1.0
2020-07-14,83.04,83.24,79.87,81.49,80.297371912,231200.0,0.0,1.0
2020-07-13,83.37,87.55,81.591,83.04,81.8246872447,223200.0,0.0,1.0
2020-07-10,80.32,82.61,79.251,81.91,80.7112250989,86700.0,0.0,1.0
2020-07-09,82.15,82.15,78.33,79.73,78.5631299858,259900.0,0.0,1.0
2020-07-08,76.64,82.36,75.65,82.32,81.1152246385,146900.0,0.0,1.0
2020-07-07,77.42,79.47,75.39,76.3,75.1833289592,209300.0,0.0,1.0
2020-07-06,76.24,79.81,75.22,77.86,76.7204979392,213900.0,0.0,1.0
2020-07-02,76.28,77.67,75.15,75.57,74.4640127057,101800.0,0.0,1.0
2020-07-01,74.89,76.67,74.83,75.56,74.4541590584,183200.0,0.0,1.0
2020-06-30,72.35,76.31,72.35,75.16,74.0600131661,116600.0,0.0,1.0
2020-06-29,74.39,74.39,71.615,72.72,71.6557232229,139032.0,0.0,1.0
2020-06-26,73.45,75.95,72.91,73.03,71.9611862895,665300.0,0.0,1.0
2020-06-25,74.02,75.51,73.307,73.9,72.8184536053,103900.0,0.0,1.0
2020-06-24,73.03,75.8,72.57,74.66,73.5673308007,174500.0,0.0,1.0
2020-06-23,72.75,74.13,71.08,73.67,72.5918197172,229100.0,0.0,1.0
2020-06-22,72.56,72.56,69.33,71.96,70.9068460275,229800.0,0.0,1.0
2020-06-19,73.6,74.14,72.01,72.29,71.2320163887,264100.0,0.0,1.0
2020-06-18,69.97,73.8,69.97,72.86,71.7936742852,163100.0,0.0,1.0
2020-06-17,72.82,73.91,70.23,70.54,69.5076281098,144700.0,0.0,1.0
2020-06-16,70.46,72.03,68.85,72.03,70.9758215587,192600.0,0.0,1.0
2020-06-15,62.85,68.88,62.85,67.63,66.6402167432,157000.0,0.0,1.0
2020-06-12,68.14,68.63,62.75,64.15,63.2111474801,199100.0,0.0,1.0
2020-06-11,66.05,68.1,65.65,66.37,65.3986571824,202000.0,0.0,1.0
2020-06-10,69.96,69.96,67.635,67.84,66.8471433367,130100.0,0.0,1.0
2020-06-09,66.4,71.99,66.4,69.53,68.5124097317,167000.0,0.0,1.0
2020-06-08,70.52,70.52,66.77,68.53,67.5270450009,314600.0,0.0,1.0
2020-06-05,71.24,72.75,68.73,69.94,68.9164092713,321900.0,0.0,1.0
2020-06-04,65.82,68.81,64.34,68.67,67.6649960632,264900.0,0.0,1.0
2020-06-03,62.06,66.93,62.06,66.0,65.034072232,250000.0,0.0,1.0
2020-06-02,59.83,61.54,59.59,61.47,60.5703700016,160100.0,0.0,1.0
2020-06-01,60.01,60.12,58.875,59.6,58.727737955,135600.0,0.0,1.0
2020-05-29,59.14,60.31,58.63,59.95,59.0726156108,96700.0,0.0,1.0
2020-05-28,61.49,61.63,58.67,59.47,58.59964054,175300.0,0.0,1.0
2020-05-27,59.6,61.49,58.77,61.2,60.3043215243,143600.0,0.0,1.0
2020-05-26,60.87,60.87,58.37,58.93,58.0675435854,87000.0,0.0,1.0
2020-05-22,59.78,60.97,59.63,60.04,59.1612984365,112900.0,0.0,1.0
2020-05-21,58.75,60.19,58.53,60.01,59.1317374946,134400.0,0.0,1.0
2020-05-20,58.89,59.625,57.71,58.44,57.5847148673,114400.0,0.0,1.0
2020-05-19,59.49,59.57,57.72,57.81,56.9639350869,129300.0,0.0,1.0
2020-05-18,59.5,60.96,58.26,59.24,58.3730066519,215200.0,0.0,1.0
2020-05-15,56.25,58.68,56.0,58.21,57.3580809792,142400.0,0.0,1.0
2020-05-14,55.85,57.78,55.07,56.58,55.751936468,153100.0,0.0,1.0
2020-05-13,59.23,60.485,55.55,56.77,55.9391557669,369900.0,0.0,1.0
2020-05-12,60.88,61.11,58.78,59.33,58.4616894777,161700.0,0.0,1.0
2020-05-11,60.32,62.66,59.81,60.75,59.8609073954,155500.0,0.0,1.0
2020-05-08,59.8,62.35,59.27,61.5,60.5999309435,203100.0,0.0,1.0
2020-05-07,57.87,59.856,57.0,58.59,57.7325195769,180600.0,0.0,1.0
2020-05-06,58.37,59.21,56.27,56.55,55.7223755261,370300.0,0.0,1.0
2020-05-05,56.23,58.66,53.925,58.24,57.3876419211,293900.0,0.0,1.0
2020-05-04,57.58,60.02,55.51,56.21,55.3873515176,185400.0,0.0,1.0
2020-05-01,56.14,60.185,54.13,57.46,56.6190574311,357500.0,0.0,1.0
2020-04-30,56.7,57.42,54.36,56.14,55.3183759865,241200.0,0.0,1.0
2020-04-29,55.0,57.93,53.905,57.49,56.648618373,317500.0,0.0,1.0
2020-04-28,52.0,54.66,50.88,53.99,53.1998418153,236300.0,0.0,1.0
2020-04-27,50.71,55.19,49.66,51.5,50.7462836356,291000.0,0.0,1.0
2020-04-24,48.55,50.234,47.61,50.08,49.3470657179,164700.0,0.0,1.0
2020-04-23,45.05,50.56,44.95,48.29,47.5832628498,303700.0,0.0,1.0
2020-04-22,44.26,45.72,42.96,44.94,44.2822910016,115000.0,0.0,1.0
2020-04-21,42.65,44.565,42.0,43.63,42.9914632043,228900.0,0.0,1.0
2020-04-20,42.35,44.53,42.06,43.73,43.0899996774,183200.0,0.0,1.0
2020-04-17,41.75,43.27,41.04,43.04,42.4100980131,276600.0,0.0,1.0
2020-04-16,41.55,41.72,39.21,41.42,40.8138071493,198400.0,0.0,1.0
2020-04-15,42.73,43.875,41.02,41.59,40.9813191535,233600.0,0.0,1.0
2020-04-14,42.36,44.36,41.65,43.56,42.9224876731,427900.0,0.0,1.0
2020-04-13,41.51,42.231,40.03,41.44,40.8335144439,210000.0,0.0,1.0
2020-04-09,39.63,43.03,38.917,41.98,41.3656113985,348000.0,0.0,1.0
2020-04-08,39.42,39.48,37.26,38.84,38.2715661438,427700.0,0.0,1.0
2020-04-07,41.19,42.353,38.58,39.25,38.6755656834,251000.0,0.0,1.0
2020-04-06,40.08,41.65,39.16,40.06,39.4737111154,165900.0,0.0,1.0
2020-04-03,41.01,41.897,38.28,39.15,38.5770292104,217800.0,0.0,1.0
2020-04-02,40.61,42.0,38.526,41.54,40.932050917,159500.0,0.0,1.0
2020-04-01,42.9,44.985,40.55,40.88,40.2817101946,184900.0,0.0,1.0
2020-03-31,45.47,47.36,43.79,44.63,43.9768279351,255700.0,0.0,1.0
2020-03-30,46.29,46.63,43.66,45.7,45.031168197,210200.0,0.0,1.0
2020-03-27,46.85,49.0,44.59,45.83,45.159265612,328400.0,0.0,1.0
2020-03-26,45.01,49.57,42.39,47.9,47.1989706048,244800.0,0.0,1.0
2020-03-25,43.68,45.73,43.385,44.63,43.9768279351,171000.0,0.0,1.0
2020-03-24,44.05,45.87,42.25,43.81,43.1688288558,216300.0,0.0,1.0
2020-03-23,44.96,45.92,38.794,42.43,41.8090255274,377600.0,0.0,1.0
2020-03-20,46.31,47.53,43.02,45.0,44.3414128855,268100.0,0.0,1.0
2020-03-19,43.25,47.4,41.5,45.95,45.2775093797,238300.0,0.0,1.0
2020-03-18,45.22,45.42,40.97,42.9,42.2721469508,200400.0,0.0,1.0
2020-03-17,42.86,47.68,42.86,47.38,46.6865809448,336300.0,0.0,1.0
2020-03-16,38.64,43.08,38.64,42.24,41.6218062285,227800.0,0.0,1.0
2020-03-13,42.27,46.05,38.51,45.86,45.188826554,313500.0,0.0,1.0
2020-03-12,42.49,42.8,38.52,39.51,38.9317605135,417700.0,0.0,1.0
2020-03-11,47.02,47.65,44.01,45.08,44.4202420639,286400.0,0.0,1.0
2020-03-10,49.65,50.0,46.09,47.88,47.1792633102,488100.0,0.0,1.0
2020-03-09,57.99,59.38,48.223,48.38,47.6719456755,382900.0,0.0,1.0
2020-03-06,59.52,61.685,58.0,60.63,59.7426636277,140500.0,0.0,1.0
2020-03-05,59.52,60.99,58.35,60.38,59.496322445,254200.0,0.0,1.0
2020-03-04,58.31,63.07,57.995,62.4,61.4867592012,250800.0,0.0,1.0
2020-03-03,58.66,59.955,56.32,57.41,56.5697891946,94800.0,0.0,1.0
2020-03-02,54.27,59.06,53.205,58.73,57.8704706392,303900.0,0.0,1.0
2020-02-28,54.36,56.23,52.09,54.24,53.446182998,217900.0,0.0,1.0
2020-02-27,55.13,57.48,54.36,55.35,54.5399378491,162900.0,0.0,1.0
2020-02-26,55.88,57.09,55.0,55.635,54.8207667974,107900.0,0.0,1.0
2020-02-25,56.57,58.04,55.11,55.87,55.0523275092,147800.0,0.0,1.0
2020-02-24,53.97,56.535,53.87,55.92,55.1015957457,95000.0,0.0,1.0
2020-02-21,54.99,55.47,53.81,55.24,54.4315477288,82700.0,0.0,1.0
2020-02-20,54.74,55.34,53.915,55.18,54.3724258449,89200.0,0.0,1.0
2020-02-19,54.77,55.84,53.8,54.91,54.1063773676,107700.0,0.0,1.0
2020-02-18,55.18,55.95,53.54,54.83,54.0275481891,113200.0,0.0,1.0
2020-02-14,55.89,55.9,53.7,55.35,54.5399378491,92800.0,0.0,1.0
2020-02-13,53.77,56.91,53.43,55.76,54.9439373888,194600.0,0.0,1.0
2020-02-12,53.94,54.23,52.21,54.12,53.3279392303,94300.0,0.0,1.0
2020-02-11,54.8,55.1,53.34,53.67,52.8845251014,102100.0,0.0,1.0
2020-02-10,52.63,56.28,52.24,54.4,53.6038413549,121900.0,0.0,1.0
2020-02-07,51.8,52.93,51.44,52.4,51.6331118933,117400.0,0.0,1.0
2020-02-06,51.46,52.48,50.92,51.89,51.1305758806,75700.0,0.0,1.0
2020-02-05,52.41,52.41,50.06,51.18,50.4309669218,74812.0,0.0,1.0
2020-02-04,50.51,52.38,50.51,51.93,51.1699904698,111900.0,0.0,1.0
2020-02-03,52.07,52.64,49.15,49.83,49.1007245352,255100.0,0.0,1.0
2020-01-31,51.99,53.42,51.149,52.18,51.4163316525,89100.0,0.0,1.0
2020-01-30,51.58,53.63,51.4025,52.44,51.6725264825,135693.0,0.0,1.0
2020-01-29,51.21,52.73,51.03,52.23,51.4655998891,167600.0,0.0,1.0
2020-01-28,49.21,51.93,48.77,50.93,50.1846257391,293100.0,0.0,1.0
2020-01-27,44.46,49.35,44.0,48.91,48.1941889829,375500.0,0.0,1.0
2020-01-24,46.08,46.77,45.23,45.4,44.7355587778,131200.0,0.0,1.0
2020-01-23,46.1,46.63,45.725,46.15,45.4745823259,154000.0,0.0,1.0
2020-01-22,46.5,46.62,45.795,46.03,45.3563385582,100900.0,0.0,1.0
2020-01-21,45.72,47.18,45.72,46.14,45.4647286786,118000.0,0.0,1.0
2020-01-17,45.79,46.09,45.41,45.89,45.2183874959,117700.0,0.0,1.0
2020-01-16,45.62,45.93,44.93,45.7,45.031168197,128400.0,0.0,1.0
2020-01-15,44.44,45.51,44.256,45.18,44.518778537,88800.0,0.0,1.0
2020-01-14,43.97,44.92,43.97,44.56,43.9078524039,143600.0,0.0,1.0
2020-01-13,44.51,45.07,44.0,44.15,43.5038528643,204000.0,0.0,1.0
2020-01-10,44.29,44.724,43.36,44.44,43.7896086362,197300.0,0.0,1.0
2020-01-09,44.93,45.2,43.82,44.28,43.6319502793,97500.0,0.0,1.0
2020-01-08,44.41,44.76,43.2,44.65,43.9965352297,193700.0,0.0,1.0
2020-01-07,44.75,45.27,44.065,44.59,43.9374133459,95700.0,0.0,1.0
2020-01-06,43.81,45.68,43.81,45.04,44.3808274747,142800.0,0.0,1.0
2020-01-03,43.75,44.55,43.21,44.36,43.7107794578,140400.0,0.0,1.0
2020-01-02,42.62,44.25,42.18,44.14,43.493999217,194000.0,0.0,1.0
2019-12-31,41.99,43.04,41.4,42.4,41.7794645854,142200.0,0.0,1.0
2019-12-30,42.19,42.71,41.2,42.33,41.7104890543,90900.0,0.0,1.0
2019-12-27,41.77,42.64,40.7,42.13,41.5134161081,138100.0,0.0,1.0
2019-12-26,43.36,43.586,40.65,41.42,40.8138071493,162500.0,0.0,1.0
2019-12-24,42.25,43.29,42.0,43.15,42.5184881335,144300.0,0.0,1.0
2019-12-23,42.43,43.355,42.04,42.39,41.7696109381,92700.0,0.0,1.0
2019-12-20,43.79,44.04,41.55,42.32,41.700635407,168200.0,0.0,1.0
2019-12-19,42.34,43.63,41.567,43.53,42.8929267312,118300.0,0.0,1.0
2019-12-18,41.89,42.83,40.98,42.47,41.8484401166,262200.0,0.0,1.0
2019-12-17,41.43,43.5,41.03,42.01,41.3951723404,209100.0,0.0,1.0
